region_index,region_name,hemisphere,source_vertices,represented_area_m2,mean_vertex_field_norm,regional_field_norm,signed_field_retention
185,7Networks_RH_Default_Temp_2,rh,109,5.352721505376363e-05,225.27250680990696,132.29204059789177,0.5872533780144088
186,7Networks_RH_Default_Temp_3,rh,117,5.51786825716381e-05,258.6288492673635,213.27702257064058,0.8246451359730584
187,7Networks_RH_Default_Temp_4,rh,61,2.6824910649420356e-05,220.61724787021075,173.66105537612174,0.7871599208702242
188,7Networks_RH_Default_Temp_5,rh,84,2.8231362382724097e-05,250.53214634134454,130.29783362281313,0.5200842906813451
189,7Networks_RH_Default_PFCv_1,rh,114,4.487062300947673e-05,322.231796672591,112.9205781697244,0.350432760937181
190,7Networks_RH_Default_PFCdPFCm_1,rh,134,6.310697197829993e-05,211.4601056227686,168.16370380233056,0.7952502591780785
191,7Networks_RH_Default_PFCdPFCm_2,rh,74,3.5448605681522775e-05,273.63478794587394,179.67585866532102,0.6566265203854914
192,7Networks_RH_Default_PFCdPFCm_3,rh,23,1.0488542496589551e-05,240.40583053118218,170.77406434022734,0.7103574150547769
193,7Networks_RH_Default_PFCdPFCm_4,rh,144,7.221357152120485e-05,287.34458747780445,139.9069096335657,0.4868959282010928
194,7Networks_RH_Default_PFCdPFCm_5,rh,108,4.989163915416171e-05,288.518441134213,230.54882907438048,0.7990783125267678
195,7Networks_RH_Default_PFCdPFCm_6,rh,86,2.758007462050885e-05,268.05835200917556,163.27570518678112,0.6091050846316933
196,7Networks_RH_Default_PFCdPFCm_7,rh,50,1.9818900529487835e-05,283.8733276155947,209.55467280266018,0.7381978242296414
197,7Networks_RH_Default_pCunPCC_1,rh,96,3.679413230951769e-05,256.716956147177,191.88131966035974,0.7474431083171356
198,7Networks_RH_Default_pCunPCC_2,rh,182,6.310829960862475e-05,250.85305266895412,168.49732993032688,0.6716973468634225
199,7Networks_RH_Default_pCunPCC_3,rh,98,2.4716905831386078e-05,272.25218135816897,219.8270583101282,0.8074391074241883
